Domain parsed
Problem parsed
Grounding..
Grounding Time: 56
Aibr Preprocessing
|F|:72
|X|:73
|A|:119
|P|:0
|E|:0
H1 Setup Time (msec): 35
Setting horizon to:NaN
Running Greedy Best First Search
h(n = s_0)=1.01646696E15
 g(n)= 400.0 h(n)=9.788098E14
 g(n)= 800.0 h(n)=9.411528E14
 g(n)= 1200.0 h(n)=9.0349536E14
 g(n)= 1600.0 h(n)=8.658383E14
 g(n)= 2000.0 h(n)=8.281808E14
 g(n)= 2400.0 h(n)=7.905236E14
 g(n)= 2800.0 h(n)=7.5286636E14
 g(n)= 3200.0 h(n)=7.152091E14
 g(n)= 3600.0 h(n)=6.7755176E14
 g(n)= 4000.0 h(n)=6.3989456E14
 g(n)= 29600.0 h(n)=4.1395083E14
 g(n)= 33200.0 h(n)=3.2922203E14
 g(n)= 33600.0 h(n)=3.1666955E14
 g(n)= 34000.0 h(n)=3.0411717E14
 g(n)= 34400.0 h(n)=2.9156476E14
 g(n)= 34800.0 h(n)=2.7901233E14
 g(n)= 35200.0 h(n)=2.664599E14
 g(n)= 35600.0 h(n)=2.5390746E14
 g(n)= 36000.0 h(n)=2.4135502E14
 g(n)= 36400.0 h(n)=2.2880269E14
 g(n)= 36800.0 h(n)=2.1625018E14
 g(n)= 37200.0 h(n)=2.0369777E14
 g(n)= 59200.0 h(n)=1.8612437E14
 g(n)= 62800.0 h(n)=1.0704407E14
 g(n)= 63200.0 h(n)=1.0285996E14
 g(n)= 63600.0 h(n)=9.867582E13
 g(n)= 64000.0 h(n)=9.449167E13
 g(n)= 64400.0 h(n)=9.0307534E13
 g(n)= 64800.0 h(n)=8.612341E13
 g(n)= 65200.0 h(n)=8.193925E13
 g(n)= 65600.0 h(n)=7.7755115E13
 g(n)= 66000.0 h(n)=7.357098E13
 g(n)= 66400.0 h(n)=6.9386832E13
 g(n)= 66800.0 h(n)=6.5202695E13
 g(n)= 88800.0 h(n)=4.093468E13
 g(n)= 92400.0 h(n)=3.5286092E13
 g(n)= 92800.0 h(n)=3.3891373E13
 g(n)= 93200.0 h(n)=3.249666E13
 g(n)= 93600.0 h(n)=3.1101951E13
 g(n)= 94000.0 h(n)=2.9707236E13
 g(n)= 94400.0 h(n)=2.831252E13
 g(n)= 94800.0 h(n)=2.6917806E13
 g(n)= 95200.0 h(n)=2.552309E13
 g(n)= 95600.0 h(n)=2.4128373E13
 g(n)= 96000.0 h(n)=2.2733662E13
 g(n)= 96400.0 h(n)=2.133895E13
 g(n)= 118400.0 h(n)=1.175029E13
 g(n)= 118800.0 h(n)=1.1285385E13
 g(n)= 119200.0 h(n)=1.082048E13
 g(n)= 119600.0 h(n)=1.0355576E13
 g(n)= 120000.0 h(n)=9.890672E12
 g(n)= 120400.0 h(n)=9.425768E12
 g(n)= 120800.0 h(n)=8.960863E12
 g(n)= 121200.0 h(n)=8.495959E12
 g(n)= 121600.0 h(n)=8.031055E12
 g(n)= 122000.0 h(n)=7.566151E12
 g(n)= 122400.0 h(n)=7.1012466E12
 g(n)= 140800.0 h(n)=6.543361E12
 g(n)= 144400.0 h(n)=4.0328752E12
 g(n)= 144800.0 h(n)=3.877908E12
 g(n)= 145200.0 h(n)=3.7229392E12
 g(n)= 145600.0 h(n)=3.5679712E12
 g(n)= 146000.0 h(n)=3.4130032E12
 g(n)= 146400.0 h(n)=3.258035E12
 g(n)= 146800.0 h(n)=3.1030664E12
 g(n)= 147200.0 h(n)=2.9480984E12
 g(n)= 147600.0 h(n)=2.79313E12
 g(n)= 148000.0 h(n)=2.6381622E12
 g(n)= 148400.0 h(n)=2.483194E12
 g(n)= 170400.0 h(n)=1.4177873E12
 g(n)= 170800.0 h(n)=1.3661312E12
 g(n)= 171200.0 h(n)=1.3144752E12
 g(n)= 171600.0 h(n)=1.2628191E12
 g(n)= 172000.0 h(n)=1.2111632E12
 g(n)= 172400.0 h(n)=1.1595072E12
 g(n)= 172800.0 h(n)=1.1078511E12
 g(n)= 173200.0 h(n)=1.0561951E12
 g(n)= 173600.0 h(n)=1.0045391E12
 g(n)= 174000.0 h(n)=9.528829E11
 g(n)= 174400.0 h(n)=9.012267E11
 g(n)= 196400.0 h(n)=8.2890824E11
