Domain parsed
Problem parsed
Grounding..
Grounding Time: 61
Aibr Preprocessing
|F|:72
|X|:86
|A|:132
|P|:0
|E|:0
H1 Setup Time (msec): 33
Setting horizon to:NaN
Running Greedy Best First Search
h(n = s_0)=4.6114747E12
 g(n)= 10.0 h(n)=4.6066376E12
 g(n)= 20.0 h(n)=4.6018006E12
 g(n)= 30.0 h(n)=4.5969635E12
 g(n)= 40.0 h(n)=4.592126E12
 g(n)= 50.0 h(n)=4.5872883E12
 g(n)= 60.0 h(n)=4.582451E12
 g(n)= 70.0 h(n)=4.577614E12
 g(n)= 80.0 h(n)=4.5727765E12
 g(n)= 90.0 h(n)=4.567939E12
 g(n)= 100.0 h(n)=4.563102E12
 g(n)= 110.0 h(n)=4.5582647E12
 g(n)= 120.0 h(n)=4.5534276E12
 g(n)= 130.0 h(n)=4.5485895E12
 g(n)= 140.0 h(n)=4.543753E12
 g(n)= 150.0 h(n)=4.538916E12
 g(n)= 160.0 h(n)=4.5340783E12
 g(n)= 170.0 h(n)=4.5292407E12
 g(n)= 180.0 h(n)=4.524404E12
 g(n)= 190.0 h(n)=4.5195665E12
 g(n)= 200.0 h(n)=4.514729E12
 g(n)= 210.0 h(n)=4.509892E12
 g(n)= 220.0 h(n)=4.505055E12
 g(n)= 230.0 h(n)=4.500217E12
 g(n)= 240.0 h(n)=4.4953795E12
 g(n)= 250.0 h(n)=4.4905424E12
 g(n)= 260.0 h(n)=4.4857054E12
 g(n)= 270.0 h(n)=4.4808683E12
 g(n)= 280.0 h(n)=4.4760307E12
 g(n)= 290.0 h(n)=4.471193E12
 g(n)= 300.0 h(n)=4.466356E12
 g(n)= 310.0 h(n)=4.461519E12
 g(n)= 320.0 h(n)=4.4566813E12
 g(n)= 330.0 h(n)=4.451844E12
 g(n)= 340.0 h(n)=4.447007E12
 g(n)= 350.0 h(n)=4.4421695E12
 g(n)= 360.0 h(n)=4.4373325E12
 g(n)= 370.0 h(n)=4.4324954E12
 g(n)= 380.0 h(n)=4.427658E12
 g(n)= 390.0 h(n)=4.42282E12
 g(n)= 400.0 h(n)=4.417983E12
 g(n)= 410.0 h(n)=4.413146E12
 g(n)= 420.0 h(n)=4.4083084E12
 g(n)= 430.0 h(n)=4.4034713E12
 g(n)= 440.0 h(n)=4.398634E12
 g(n)= 450.0 h(n)=4.3937964E12
 g(n)= 460.0 h(n)=4.3889596E12
 g(n)= 470.0 h(n)=4.3841225E12
 g(n)= 480.0 h(n)=4.3792849E12
 g(n)= 490.0 h(n)=4.3744473E12
 g(n)= 500.0 h(n)=4.3696104E12
 g(n)= 510.0 h(n)=4.364773E12
 g(n)= 520.0 h(n)=4.3599358E12
 g(n)= 530.0 h(n)=4.3550984E12
 g(n)= 540.0 h(n)=4.350261E12
 g(n)= 550.0 h(n)=4.3454237E12
 g(n)= 560.0 h(n)=4.3405864E12
 g(n)= 570.0 h(n)=4.335749E12
 g(n)= 580.0 h(n)=4.3309117E12
 g(n)= 590.0 h(n)=4.326075E12
 g(n)= 600.0 h(n)=4.3212373E12
 g(n)= 610.0 h(n)=4.3163997E12
 g(n)= 620.0 h(n)=4.3115626E12
 g(n)= 630.0 h(n)=4.3067258E12
 g(n)= 640.0 h(n)=4.301888E12
 g(n)= 650.0 h(n)=4.2970508E12
 g(n)= 660.0 h(n)=4.2922137E12
 g(n)= 670.0 h(n)=4.2873764E12
 g(n)= 680.0 h(n)=4.282539E12
 g(n)= 690.0 h(n)=4.2777017E12
 g(n)= 700.0 h(n)=4.2728644E12
 g(n)= 710.0 h(n)=4.268027E12
 g(n)= 720.0 h(n)=4.2631897E12
 g(n)= 730.0 h(n)=4.2583523E12
 g(n)= 740.0 h(n)=4.253515E12
 g(n)= 750.0 h(n)=4.248678E12
 g(n)= 760.0 h(n)=4.2438408E12
 g(n)= 770.0 h(n)=4.239003E12
 g(n)= 780.0 h(n)=4.2341661E12
 g(n)= 790.0 h(n)=4.229329E12
 g(n)= 800.0 h(n)=4.2244915E12
 g(n)= 810.0 h(n)=4.2196538E12
 g(n)= 820.0 h(n)=4.214817E12
 g(n)= 830.0 h(n)=4.2099797E12
 g(n)= 840.0 h(n)=4.2051423E12
